id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
921343849293577732,Bright & cosy Large Double Air-con@Wanchai MTR,3776595,Phoebe,,Wan Chai,22.2783764,114.1766172,Private room,263,1,22,2024-12-28,1.12,44,154,6,
921403814805258009,"Super convenient, big terrace studio",12520872,Daniella,,Central & Western,22.289027926116276,114.14330503807459,Entire home/apt,575,4,26,2025-02-22,1.28,1,14,19,
921517271472229592,CHEAP room - SALE for 1 person,213805506,Lian,,Yau Tsim Mong,22.314351351630915,114.17174890366697,Private room,187,29,0,,,13,270,0,
921520563751040179,SALE room.  Book Today.  Now.,213805506,Lian,,Wan Chai,22.277950412523293,114.17785153904956,Private room,,29,0,,,13,186,0,
921565730394732138,RARE FIND.  Large apt in Mid Level. Quiet location,36201313,Shirralee,,Central & Western,22.28028221240169,114.14995488386572,Private room,600,28,4,2025-01-04,0.23,1,70,2,
921652296944024415,星河明居坐落於九龍荷里活廣場鑽石山地鐵站上蓋交通方便四通八達,521937553,Chi Wing Simon,,Wong Tai Sin,22.340355060601336,114.20322208718213,Private room,,1,77,2025-01-31,3.71,2,1,34,
922025367728569273,"New beautiful flat, Soho Central",4863982,Angie,,Central & Western,22.283379549906822,114.151038008195,Entire home/apt,990,3,5,2023-10-22,0.25,1,216,0,
922295641206666077,Cosy Comfort Double Aircon@Wanchai 266 Lockhart Rd,3776595,Phoebe,,Wan Chai,22.2783764,114.1766172,Private room,290,1,10,2024-10-17,0.49,44,154,5,
922425138543629419,溫馨雙人大床房,189530194,Kitty,,Yau Tsim Mong,22.3198502,114.1706419,Private room,395,1,1,2024-01-28,0.07,9,269,0,
923354249124249172,雙面大窗三人房｜步行2分鐘到尖沙咀地鐵口｜阿木旅舍,475619185,George,,Yau Tsim Mong,22.29714178002672,114.17413193454819,Private room,578,1,13,2025-02-26,0.71,25,133,12,
923641252600278732,Cozy Dormitory Single Bedroom @Wan Chai Road 187,6684297,Emma,,Wan Chai,22.27814,114.17708,Private room,,1,0,,,54,0,0,
923786701800285827,Located in Causeway Bay-Private Apartment,24844717,Ting,,Wan Chai,22.276610058500008,114.18518666800013,Entire home/apt,400,1,36,2025-02-15,1.84,17,266,25,
923817840119630924,Cozy and Quiet Residential Area,131264708,Weiwei,,Sha Tin,22.39375,114.19466,Entire home/apt,1080,3,4,2024-08-06,0.20,1,267,1,
923886907497168578,獨立廚廁洗衣機 | 有電梯 | 柯士甸地鐵站 | 有保安 | 15分鐘到中環,440134849,Diane,,Yau Tsim Mong,22.3079307,114.1668786,Entire home/apt,332,28,8,2025-01-02,0.40,42,364,1,
924125640202166076,Easy to get around. Warm rooms-Private Apartment,24844717,Ting,,Wan Chai,22.27645306500001,114.18497209130012,Entire home/apt,399,1,16,2025-01-03,0.87,17,292,6,
924129454338390170,Easy to get around. Warm rooms-Private Apartment,24844717,Ting,,Wan Chai,22.27645306500001,114.18497209130012,Entire home/apt,421,1,16,2025-01-13,1.05,17,278,13,
